The output is formatted as follows: 
pindex   time    deltaT    dlambda   trial  simp38   simp   trap 
0 10000 0.1 0.1 0 1.59505 1.57602 1.64753
0 10000 0.1 0.1 1 1.59505 1.57602 1.64753
0 10000 0.1 0.1 2 1.59505 1.57602 1.64753
0 10000 0.1 0.1 3 1.59505 1.57602 1.64753
0 10000 0.1 0.1 4 1.59505 1.57602 1.64753

1 10000 0.05 0.1 0 1.43793 1.4132 1.49606
1 10000 0.05 0.1 1 1.43793 1.4132 1.49606
1 10000 0.05 0.1 2 1.43793 1.4132 1.49606
1 10000 0.05 0.1 3 1.43793 1.4132 1.49606
1 10000 0.05 0.1 4 1.43793 1.4132 1.49606

2 10000 0.02 0.1 0 1.38827 1.36852 1.43873
2 10000 0.02 0.1 1 1.38827 1.36852 1.43873
2 10000 0.02 0.1 2 1.38827 1.36852 1.43873
2 10000 0.02 0.1 3 1.38827 1.36852 1.43873
2 10000 0.02 0.1 4 1.38827 1.36852 1.43873

3 10000 0.01 0.1 0 1.42703 1.41812 1.48026
3 10000 0.01 0.1 1 1.42703 1.41812 1.48026
3 10000 0.01 0.1 2 1.42703 1.41812 1.48026
3 10000 0.01 0.1 3 1.42703 1.41812 1.48026
3 10000 0.01 0.1 4 1.42703 1.41812 1.48026

4 10000 0.005 0.1 0 1.37116 1.36051 1.41893
4 10000 0.005 0.1 1 1.37116 1.36051 1.41893
4 10000 0.005 0.1 2 1.37116 1.36051 1.41893
4 10000 0.005 0.1 3 1.37116 1.36051 1.41893
4 10000 0.005 0.1 4 1.37116 1.36051 1.41893

5 10000 0.1 0.05 0 1.56719 1.56584 1.58666
5 10000 0.1 0.05 1 1.56719 1.56584 1.58666
5 10000 0.1 0.05 2 1.56719 1.56584 1.58666
5 10000 0.1 0.05 3 1.56719 1.56584 1.58666
5 10000 0.1 0.05 4 1.56719 1.56584 1.58666

6 10000 0.05 0.05 0 1.38125 1.36039 1.40514
6 10000 0.05 0.05 1 1.38125 1.36039 1.40514
6 10000 0.05 0.05 2 1.38125 1.36039 1.40514
6 10000 0.05 0.05 3 1.38125 1.36039 1.40514
6 10000 0.05 0.05 4 1.38125 1.36039 1.40514

7 10000 0.02 0.05 0 1.40112 1.39121 1.41669
7 10000 0.02 0.05 1 1.40112 1.39121 1.41669
7 10000 0.02 0.05 2 1.40112 1.39121 1.41669
7 10000 0.02 0.05 3 1.40112 1.39121 1.41669
7 10000 0.02 0.05 4 1.40112 1.39121 1.41669

8 10000 0.01 0.05 0 1.42053 1.41608 1.43694
8 10000 0.01 0.05 1 1.42053 1.41608 1.43694
8 10000 0.01 0.05 2 1.42053 1.41608 1.43694
8 10000 0.01 0.05 3 1.42053 1.41608 1.43694
8 10000 0.01 0.05 4 1.42053 1.41608 1.43694

9 10000 0.005 0.05 0 1.36613 1.35907 1.3826
9 10000 0.005 0.05 1 1.36613 1.35907 1.3826
9 10000 0.005 0.05 2 1.36613 1.35907 1.3826
9 10000 0.005 0.05 3 1.36613 1.35907 1.3826
9 10000 0.005 0.05 4 1.36613 1.35907 1.3826

10 10000 0.1 0.02 0 1.57944 1.58825 1.58195
10 10000 0.1 0.02 1 1.57944 1.58825 1.58195
10 10000 0.1 0.02 2 1.57944 1.58825 1.58195
10 10000 0.1 0.02 3 1.57944 1.58825 1.58195
10 10000 0.1 0.02 4 1.57944 1.58825 1.58195

11 10000 0.05 0.02 0 1.42072 1.3985 1.42324
11 10000 0.05 0.02 1 1.42072 1.3985 1.42324
11 10000 0.05 0.02 2 1.42072 1.3985 1.42324
11 10000 0.05 0.02 3 1.42072 1.3985 1.42324
11 10000 0.05 0.02 4 1.42072 1.3985 1.42324

12 10000 0.02 0.02 0 1.38328 1.37798 1.38476
12 10000 0.02 0.02 1 1.38328 1.37798 1.38476
12 10000 0.02 0.02 2 1.38328 1.37798 1.38476
12 10000 0.02 0.02 3 1.38328 1.37798 1.38476
12 10000 0.02 0.02 4 1.38328 1.37798 1.38476

13 10000 0.01 0.02 0 1.39483 1.39323 1.40323
13 10000 0.01 0.02 1 1.39483 1.39323 1.40323
13 10000 0.01 0.02 2 1.39483 1.39323 1.40323
13 10000 0.01 0.02 3 1.39483 1.39323 1.40323
13 10000 0.01 0.02 4 1.39483 1.39323 1.40323

14 10000 0.005 0.02 0 1.35295 1.35484 1.37021
14 10000 0.005 0.02 1 1.35295 1.35484 1.37021
14 10000 0.005 0.02 2 1.35295 1.35484 1.37021
14 10000 0.005 0.02 3 1.35295 1.35484 1.37021
14 10000 0.005 0.02 4 1.35295 1.35484 1.37021

15 10000 0.1 0.01 0 1.57569 1.56562 1.57623
15 10000 0.1 0.01 1 1.57569 1.56562 1.57623
15 10000 0.1 0.01 2 1.57569 1.56562 1.57623
15 10000 0.1 0.01 3 1.57569 1.56562 1.57623
15 10000 0.1 0.01 4 1.57569 1.56562 1.57623

16 10000 0.05 0.01 0 1.42213 1.42116 1.42386
16 10000 0.05 0.01 1 1.42213 1.42116 1.42386
16 10000 0.05 0.01 2 1.42213 1.42116 1.42386
16 10000 0.05 0.01 3 1.42213 1.42116 1.42386
16 10000 0.05 0.01 4 1.42213 1.42116 1.42386

17 10000 0.02 0.01 0 1.38589 1.38374 1.38523
17 10000 0.02 0.01 1 1.38589 1.38374 1.38523
17 10000 0.02 0.01 2 1.38589 1.38374 1.38523
17 10000 0.02 0.01 3 1.38589 1.38374 1.38523
17 10000 0.02 0.01 4 1.38589 1.38374 1.38523

18 10000 0.01 0.01 0 1.36073 1.35899 1.35946
18 10000 0.01 0.01 1 1.36073 1.35899 1.35946
18 10000 0.01 0.01 2 1.36073 1.35899 1.35946
18 10000 0.01 0.01 3 1.36073 1.35899 1.35946
18 10000 0.01 0.01 4 1.36073 1.35899 1.35946

19 10000 0.005 0.01 0 1.3529 1.3526 1.35365
19 10000 0.005 0.01 1 1.3529 1.3526 1.35365
19 10000 0.005 0.01 2 1.3529 1.3526 1.35365
19 10000 0.005 0.01 3 1.3529 1.3526 1.35365
19 10000 0.005 0.01 4 1.3529 1.3526 1.35365

20 50000 0.1 0.1 0 1.61503 1.61167 1.66737
20 50000 0.1 0.1 1 1.61503 1.61167 1.66737
20 50000 0.1 0.1 2 1.61503 1.61167 1.66737
20 50000 0.1 0.1 3 1.61503 1.61167 1.66737
20 50000 0.1 0.1 4 1.61503 1.61167 1.66737

21 50000 0.05 0.1 0 1.44519 1.43814 1.49997
21 50000 0.05 0.1 1 1.44519 1.43814 1.49997
21 50000 0.05 0.1 2 1.44519 1.43814 1.49997
21 50000 0.05 0.1 3 1.44519 1.43814 1.49997
21 50000 0.05 0.1 4 1.44519 1.43814 1.49997

22 50000 0.02 0.1 0 1.40596 1.39819 1.45813
22 50000 0.02 0.1 1 1.40596 1.39819 1.45813
22 50000 0.02 0.1 2 1.40596 1.39819 1.45813
22 50000 0.02 0.1 3 1.40596 1.39819 1.45813
22 50000 0.02 0.1 4 1.40596 1.39819 1.45813

23 50000 0.01 0.1 0 1.42038 1.41349 1.4759
23 50000 0.01 0.1 1 1.42038 1.41349 1.4759
23 50000 0.01 0.1 2 1.42038 1.41349 1.4759
23 50000 0.01 0.1 3 1.42038 1.41349 1.4759
23 50000 0.01 0.1 4 1.42038 1.41349 1.4759

24 50000 0.005 0.1 0 1.42245 1.41751 1.47483
24 50000 0.005 0.1 1 1.42245 1.41751 1.47483
24 50000 0.005 0.1 2 1.42245 1.41751 1.47483
24 50000 0.005 0.1 3 1.42245 1.41751 1.47483
24 50000 0.005 0.1 4 1.42245 1.41751 1.47483

25 50000 0.1 0.05 0 1.60657 1.61084 1.62191
25 50000 0.1 0.05 1 1.60657 1.61084 1.62191
25 50000 0.1 0.05 2 1.60657 1.61084 1.62191
25 50000 0.1 0.05 3 1.60657 1.61084 1.62191
25 50000 0.1 0.05 4 1.60657 1.61084 1.62191

26 50000 0.05 0.05 0 1.43515 1.44055 1.45164
26 50000 0.05 0.05 1 1.43515 1.44055 1.45164
26 50000 0.05 0.05 2 1.43515 1.44055 1.45164
26 50000 0.05 0.05 3 1.43515 1.44055 1.45164
26 50000 0.05 0.05 4 1.43515 1.44055 1.45164

27 50000 0.02 0.05 0 1.39947 1.39555 1.41458
27 50000 0.02 0.05 1 1.39947 1.39555 1.41458
27 50000 0.02 0.05 2 1.39947 1.39555 1.41458
27 50000 0.02 0.05 3 1.39947 1.39555 1.41458
27 50000 0.02 0.05 4 1.39947 1.39555 1.41458

28 50000 0.01 0.05 0 1.40216 1.40413 1.42273
28 50000 0.01 0.05 1 1.40216 1.40413 1.42273
28 50000 0.01 0.05 2 1.40216 1.40413 1.42273
28 50000 0.01 0.05 3 1.40216 1.40413 1.42273
28 50000 0.01 0.05 4 1.40216 1.40413 1.42273

29 50000 0.005 0.05 0 1.3949 1.39731 1.41394
29 50000 0.005 0.05 1 1.3949 1.39731 1.41394
29 50000 0.005 0.05 2 1.3949 1.39731 1.41394
29 50000 0.005 0.05 3 1.3949 1.39731 1.41394
29 50000 0.005 0.05 4 1.3949 1.39731 1.41394

30 50000 0.1 0.02 0 1.57425 1.57292 1.57863
30 50000 0.1 0.02 1 1.57425 1.57292 1.57863
30 50000 0.1 0.02 2 1.57425 1.57292 1.57863
30 50000 0.1 0.02 3 1.57425 1.57292 1.57863
30 50000 0.1 0.02 4 1.57425 1.57292 1.57863

31 50000 0.05 0.02 0 1.41488 1.41704 1.41957
31 50000 0.05 0.02 1 1.41488 1.41704 1.41957
31 50000 0.05 0.02 2 1.41488 1.41704 1.41957
31 50000 0.05 0.02 3 1.41488 1.41704 1.41957
31 50000 0.05 0.02 4 1.41488 1.41704 1.41957

32 50000 0.02 0.02 0 1.37518 1.37428 1.37798
32 50000 0.02 0.02 1 1.37518 1.37428 1.37798
32 50000 0.02 0.02 2 1.37518 1.37428 1.37798
32 50000 0.02 0.02 3 1.37518 1.37428 1.37798
32 50000 0.02 0.02 4 1.37518 1.37428 1.37798

33 50000 0.01 0.02 0 1.40597 1.40585 1.40595
33 50000 0.01 0.02 1 1.40597 1.40585 1.40595
33 50000 0.01 0.02 2 1.40597 1.40585 1.40595
33 50000 0.01 0.02 3 1.40597 1.40585 1.40595
33 50000 0.01 0.02 4 1.40597 1.40585 1.40595

34 50000 0.005 0.02 0 1.37304 1.37788 1.37658
34 50000 0.005 0.02 1 1.37304 1.37788 1.37658
34 50000 0.005 0.02 2 1.37304 1.37788 1.37658
34 50000 0.005 0.02 3 1.37304 1.37788 1.37658
34 50000 0.005 0.02 4 1.37304 1.37788 1.37658

35 50000 0.1 0.01 0 1.6061 1.59711 1.60518
35 50000 0.1 0.01 1 1.6061 1.59711 1.60518
35 50000 0.1 0.01 2 1.6061 1.59711 1.60518
35 50000 0.1 0.01 3 1.6061 1.59711 1.60518
35 50000 0.1 0.01 4 1.6061 1.59711 1.60518

36 50000 0.05 0.01 0 1.41739 1.42322 1.4195
36 50000 0.05 0.01 1 1.41739 1.42322 1.4195
36 50000 0.05 0.01 2 1.41739 1.42322 1.4195
36 50000 0.05 0.01 3 1.41739 1.42322 1.4195
36 50000 0.05 0.01 4 1.41739 1.42322 1.4195

37 50000 0.02 0.01 0 1.38925 1.38696 1.38778
37 50000 0.02 0.01 1 1.38925 1.38696 1.38778
37 50000 0.02 0.01 2 1.38925 1.38696 1.38778
37 50000 0.02 0.01 3 1.38925 1.38696 1.38778
37 50000 0.02 0.01 4 1.38925 1.38696 1.38778

38 50000 0.01 0.01 0 1.38164 1.38554 1.3832
